G,Date,HorA,Opp,W/L,Tm,Opp_1,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,OppDRB%,OppFT/FGA,diff_eFG,diff_TOV,diff_ORB,diff_FT,diff_score
1,2017-10-18,H,BRK,W,140,131,0.564,10.8,30.4,0.245,0.543,15.6,75,0.309,2.09999999999999,-4.8,-44.6,-6.4,9
2,2017-10-20,H,POR,L,96,114,0.474,11.5,13,0.282,0.532,8.1,75,0.137,-5.80000000000001,3.4,-62,14.5,-18
3,2017-10-21,A,MIA,L,108,112,0.484,8.7,25,0.156,0.598,13.1,84.2,0.092,-11.4,-4.4,-59.2,6.4,-4
4,2017-10-24,A,MIN,W,130,107,0.726,16.1,30.8,0.095,0.541,12.8,79.1,0.163,18.5,3.3,-48.3,-6.8,23
5,2017-10-25,A,OKC,L,96,114,0.398,16.2,29.8,0.361,0.539,16.6,62.8,0.202,-14.1,-0.400000000000002,-33,15.9,-18
6,2017-10-29,H,SAS,W,97,94,0.532,18.1,15.8,0.195,0.45,13.3,76,0.144,8.2,4.8,-60.2,5.1,3
7,2017-10-31,H,SAC,W,101,83,0.494,12.9,28,0.2,0.432,12.9,81.3,0.08,6.2,0,-53.3,12,18
8,2017-11-01,A,CLE,W,124,107,0.633,10.3,19.5,0.111,0.541,14.4,81.4,0.163,9.2,-4.1,-61.9,-5.2,17
9,2017-11-03,A,PHI,L,110,121,0.505,9.5,17.4,0.124,0.598,15.5,72.7,0.12,-9.3,-6,-55.3,0.4,-11
10,2017-11-05,A,NYK,L,101,108,0.544,12.2,10.5,0.19,0.534,11.1,71.4,0.159,1,1.1,-60.9,3.1,-7
11,2017-11-07,H,NOP,L,112,117,0.522,9,25.6,0.161,0.586,11,73.2,0.172,-6.4,-2,-47.6,-1.1,-5
12,2017-11-08,A,DET,L,97,114,0.472,13.5,14.3,0.159,0.59,13.8,79.5,0.193,-11.8,-0.300000000000001,-65.2,-3.4,-17
13,2017-11-10,A,CHI,W,105,87,0.583,16.8,17.9,0.083,0.435,11,80,0.065,14.8,5.8,-62.1,1.8,18
14,2017-11-12,H,HOU,L,95,118,0.494,12.4,15.9,0.157,0.572,11.7,77.3,0.167,-7.8,0.700000000000001,-61.4,-1,-23
15,2017-11-15,A,MEM,W,116,113,0.576,11.3,13.5,0.212,0.558,12.8,73.8,0.198,1.79999999999999,-1.5,-60.3,1.4,3
16,2017-11-17,H,DET,W,107,100,0.522,9.2,28.9,0.157,0.495,10.1,77.6,0.086,2.7,-0.9,-48.7,7.1,7
17,2017-11-19,A,MIA,W,120,95,0.665,11.9,26.5,0.082,0.5,13.6,76.7,0.145,16.5,-1.7,-50.2,-6.3,25
18,2017-11-20,A,ORL,W,105,97,0.461,10.5,17,0.258,0.494,18.9,78.4,0.167,-3.3,-8.4,-61.4,9.1,8
19,2017-11-24,H,TOR,W,107,104,0.524,14.4,22.2,0.241,0.549,16.7,81.6,0.185,-2.5,-2.3,-59.4,5.6,3
20,2017-11-25,H,BOS,L,98,108,0.532,17.5,27.8,0.192,0.625,14.3,86.7,0.1,-9.3,3.2,-58.9,9.2,-10
21,2017-11-27,H,ORL,W,121,109,0.627,13.4,24.2,0.278,0.522,12.4,77.8,0.141,10.5,1,-53.6,13.7,12
22,2017-11-29,A,HOU,L,97,118,0.517,13.4,13.3,0.068,0.593,13.6,75,0.186,-7.6,-0.199999999999999,-61.7,-11.8,-21
23,2017-12-01,A,TOR,L,115,120,0.48,8.2,30,0.167,0.546,10.1,72.1,0.144,-6.60000000000001,-1.9,-42.1,2.3,-5
24,2017-12-04,H,NYK,W,115,97,0.599,14.7,20,0.14,0.473,14.8,71.2,0.121,12.6,-0.100000000000001,-51.2,1.9,18
25,2017-12-06,H,CHI,W,98,96,0.517,12.5,16.7,0.092,0.53,15.1,74.4,0.096,-1.3,-2.6,-57.7,-0.4,2
26,2017-12-08,H,CLE,W,106,102,0.529,7.7,25.5,0.174,0.5,10.4,80.4,0.2,2.9,-2.7,-54.9,-2.6,4
27,2017-12-10,H,DEN,W,126,116,0.581,9.7,28.2,0.194,0.542,17,60.4,0.137,3.89999999999999,-7.3,-32.2,5.7,10
28,2017-12-13,H,OKC,L,95,100,0.511,12.4,23.9,0.045,0.483,11.7,64.6,0.17,2.8,0.700000000000001,-40.7,-12.5,-5
