G,Date,HorA,Opp,W/L,Tm,Opp_1,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,OppDRB%,OppFT/FGA,diff_eFG,diff_TOV,diff_ORB,diff_FT,diff_score
1,2017-10-19,H,CHI,W,117,100,0.548,15.1,31,0.313,0.472,16.3,78.3,0.18,7.60000000000001,-1.2,-47.3,13.3,17
2,2017-10-21,H,PHI,W,128,94,0.545,11,19.5,0.348,0.439,17,84.3,0.268,10.6,-6,-64.8,8,34
3,2017-10-23,A,SAS,L,97,101,0.488,13.4,11.9,0.238,0.472,16.7,61.7,0.178,1.6,-3.3,-49.8,6,-4
4,2017-10-25,A,GSW,L,112,117,0.5,13.5,35.4,0.191,0.636,16.4,80.6,0.247,-13.6,-2.9,-45.2,-5.6,-5
5,2017-10-27,A,LAL,W,101,92,0.468,10.5,18.4,0.151,0.475,19,77.5,0.215,-0.699999999999995,-8.5,-59.1,-6.4,9
6,2017-10-30,A,POR,W,99,85,0.494,8.7,20,0.149,0.438,12.8,86.7,0.188,5.6,-4.1,-66.7,-3.9,14
7,2017-11-01,A,DEN,L,111,129,0.559,11.9,20.9,0.188,0.625,10.6,76.3,0.216,-6.59999999999999,1.3,-55.4,-2.8,-18
8,2017-11-03,A,UTA,W,109,100,0.613,16.1,17.9,0.31,0.488,12.6,77.3,0.275,12.5,3.5,-59.4,3.5,9
9,2017-11-05,H,WAS,L,96,107,0.494,12.4,20.5,0.213,0.535,15.2,71.1,0.188,-4.1,-2.8,-50.6,2.5,-11
10,2017-11-07,H,CHI,W,119,114,0.623,14.1,19.4,0.222,0.569,12.3,78.9,0.288,5.40000000000001,1.8,-59.5,-6.6,5
11,2017-11-09,H,NOP,W,122,118,0.541,10,22.7,0.163,0.616,12.3,90.5,0.207,-7.5,-2.3,-67.8,-4.4,4
12,2017-11-12,A,BOS,L,94,95,0.536,17.7,16.2,0.29,0.46,12.8,66.7,0.172,7.6,4.9,-50.5,11.8,-1
13,2017-11-14,A,HOU,W,129,113,0.615,11.1,12.8,0.423,0.494,16.4,68.9,0.443,12.1,-5.3,-56.1,-2,16
14,2017-11-15,A,NOP,W,125,116,0.697,19.8,21.4,0.25,0.56,12.6,75.6,0.154,13.7,7.2,-54.2,9.6,9
15,2017-11-17,H,NYK,W,107,84,0.622,12.7,9.4,0.128,0.379,8.4,72.5,0.165,24.3,4.3,-63.1,-3.7,23
16,2017-11-19,H,WAS,W,100,91,0.5,6.8,23.9,0.111,0.488,13.4,82.2,0.148,1.2,-6.6,-58.3,-3.7,9
17,2017-11-22,A,NYK,L,100,108,0.506,13.6,26.1,0.138,0.505,9.9,69.8,0.151,0.1,3.7,-43.7,-1.3,-8
